x,y,z
0.035,0.01775,-0.17
0.035,0.01775,-0.16575
0.035,0.015975,-0.16575
0.035,0.015975,-0.17
0.035,0.015975,-0.17
0.035,0.015975,-0.16575
0.035,0.0142,-0.16575
0.035,0.0142,-0.17
0.035,0.0142,-0.17
0.035,0.0142,-0.16575
0.035,0.012425,-0.16575
0.035,0.012425,-0.17
0.035,0.012425,-0.17
0.035,0.012425,-0.16575
0.035,0.01065,-0.16575
0.035,0.01065,-0.17
0.035,0.01065,-0.17
0.035,0.01065,-0.16575
0.035,0.008875,-0.16575
0.035,0.008875,-0.17
0.035,0.008875,-0.17
0.035,0.008875,-0.16575
0.035,0.0071,-0.16575
0.035,0.0071,-0.17
0.035,0.0071,-0.17
0.035,0.0071,-0.16575
0.035,0.005325,-0.16575
0.035,0.005325,-0.17
0.035,0.005325,-0.17
0.035,0.005325,-0.16575
0.035,0.00355,-0.16575
0.035,0.00355,-0.17
0.035,0.00355,-0.17
0.035,0.00355,-0.16575
0.035,0.001775,-0.16575
0.035,0.001775,-0.17
0.035,0.001775,-0.17
0.035,0.001775,-0.16575
0.035,0.0,-0.16575
0.035,0.0,-0.17
0.035,0.0,-0.17
0.035,0.0,-0.16575
0.035,-0.001775,-0.16575
0.035,-0.001775,-0.17
0.035,-0.001775,-0.17
0.035,-0.001775,-0.16575
0.035,-0.00355,-0.16575
0.035,-0.00355,-0.17
0.035,-0.00355,-0.17
0.035,-0.00355,-0.16575
0.035,-0.005325,-0.16575
0.035,-0.005325,-0.17
0.035,-0.005325,-0.17
0.035,-0.005325,-0.16575
0.035,-0.0071,-0.16575
0.035,-0.0071,-0.17
0.035,-0.0071,-0.17
0.035,-0.0071,-0.16575
0.035,-0.008875,-0.16575
0.035,-0.008875,-0.17
0.035,-0.008875,-0.17
0.035,-0.008875,-0.16575
0.035,-0.01065,-0.16575
0.035,-0.01065,-0.17
0.035,-0.01065,-0.17
0.035,-0.01065,-0.16575
0.035,-0.012425,-0.16575
0.035,-0.012425,-0.17
0.035,-0.012425,-0.17
0.035,-0.012425,-0.16575
0.035,-0.0142,-0.16575
0.035,-0.0142,-0.17
0.035,-0.0142,-0.17
0.035,-0.0142,-0.16575
0.035,-0.015975,-0.16575
0.035,-0.015975,-0.17
0.035,-0.015975,-0.17
0.035,-0.015975,-0.16575
0.035,-0.01775,-0.16575
0.035,-0.01775,-0.17
0.035,0.01775,-0.16575
0.035,0.01775,-0.1615
0.035,0.015975,-0.1615
0.035,0.015975,-0.16575
0.035,0.015975,-0.16575
0.035,0.015975,-0.1615
0.035,0.0142,-0.1615
0.035,0.0142,-0.16575
0.035,0.0142,-0.16575
0.035,0.0142,-0.1615
0.035,0.012425,-0.1615
0.035,0.012425,-0.16575
0.035,0.012425,-0.16575
0.035,0.012425,-0.1615
0.035,0.01065,-0.1615
0.035,0.01065,-0.16575
0.035,0.01065,-0.16575
0.035,0.01065,-0.1615
0.035,0.008875,-0.1615
0.035,0.008875,-0.16575
0.035,0.008875,-0.16575
0.035,0.008875,-0.1615
0.035,0.0071,-0.1615
0.035,0.0071,-0.16575
0.035,0.0071,-0.16575
0.035,0.0071,-0.1615
0.035,0.005325,-0.1615
0.035,0.005325,-0.16575
0.035,0.005325,-0.16575
0.035,0.005325,-0.1615
0.035,0.00355,-0.1615
0.035,0.00355,-0.16575
0.035,0.00355,-0.16575
0.035,0.00355,-0.1615
0.035,0.001775,-0.1615
0.035,0.001775,-0.16575
0.035,0.001775,-0.16575
0.035,0.001775,-0.1615
0.035,0.0,-0.1615
0.035,0.0,-0.16575
0.035,0.0,-0.16575
0.035,0.0,-0.1615
0.035,-0.001775,-0.1615
0.035,-0.001775,-0.16575
0.035,-0.001775,-0.16575
0.035,-0.001775,-0.1615
0.035,-0.00355,-0.1615
0.035,-0.00355,-0.16575
0.035,-0.00355,-0.16575
0.035,-0.00355,-0.1615
0.035,-0.005325,-0.1615
0.035,-0.005325,-0.16575
0.035,-0.005325,-0.16575
0.035,-0.005325,-0.1615
0.035,-0.0071,-0.1615
0.035,-0.0071,-0.16575
0.035,-0.0071,-0.16575
0.035,-0.0071,-0.1615
0.035,-0.008875,-0.1615
0.035,-0.008875,-0.16575
